"","mos_since_start","mos_since_last_ck","exhaust_approx","n","cons_ub_adj","inc_adj","income_ub_adj","cons_adj","labor_broad_adj","inflow_paper_ck","mos_unemp","unemp","cons","cons_base_start_tmp","inc_base_start_tmp","cons_base_exhaust_tmp","inc_base_exhaust_tmp","cons_base_exhaust_immed_tmp","inc_base_exhaust_immed_tmp","labor_base_start_tmp","labor_base_exhaust_immed_tmp","d_cons_start","d_inc_start","d_cons_exhaust","d_inc_exhaust","d_cons_exhaust_immed","d_inc_exhaust_immed","labor_base_start","labor_base_exhaust_immed","d_cons_start_ex_wr"
"69",-22,-24,FALSE,5165,4515.53384572452,3562.0901705886,4834.81650949243,2628.41002962607,2907.46067615647,975.042435624395,3.10842207163601,0,3450.34492043762,NA,NA,NA,NA,NA,NA,NA,NA,-240.468647782627,-189.129229681187,NA,NA,NA,NA,-177.507411415892,NA,-240.468647782627
"70",-22,-23,FALSE,8438,4533.51446389654,3585.70789433291,4908.45111986775,2660.51840170363,2945.84105877101,990.018235126807,2.10476416212373,0,3510.37866029168,NA,NA,NA,NA,NA,NA,NA,NA,-263.275495401353,-224.85059222975,NA,NA,NA,NA,-220.701486809849,NA,-263.275495401353
"71",-22,-22,FALSE,3800,4475.75884043271,3452.04960108317,4666.82637531705,2655.1229049514,2811.30401460974,1002.00890368421,1.38736842105263,0,3473.31921243307,NA,NA,NA,NA,NA,NA,NA,NA,-107.674224714074,-93.7945986040822,NA,NA,NA,NA,-89.7634954508487,NA,-107.674224714074
"72",-22,-21,FALSE,450,4584.53900360512,3742.19076562345,5682.46005319451,2582.06815598845,2818.62783743146,1193.14011111111,2,0,3470.7258134192,NA,NA,NA,NA,NA,NA,NA,NA,28.9885325366659,299.244890371596,NA,NA,NA,NA,253.360655349331,NA,28.9885325366659
"73",-21,-28,TRUE,32,4117.31215757858,3534.46285661058,4058.81790725273,2411.85815964312,2938.81952509179,694.6900625,8,0,3340.6568602812,NA,NA,NA,NA,NA,NA,NA,NA,83.8048657210868,-743.951243821914,-188.880698697392,660.948108253082,-85.935620227354,763.251451782965,-513.84907101677,1835.56256180327,83.8048657210868
"74",-21,-27,FALSE,46,4208.51831366351,3812.43763876271,5861.91218105528,2462.62000431624,2889.03027818862,1207.96665217391,7,0,3192.62791829375,NA,NA,NA,NA,NA,NA,NA,NA,-732.395750349483,193.104245843099,NA,NA,NA,NA,-11.1117481700558,NA,-732.395750349483
"75",-21,-27,TRUE,3281,4664.30553390109,3656.69181564332,4996.68472363518,2622.70658520009,3030.83875427616,1007.54374398049,7,0,3500.8145253144,NA,NA,NA,NA,NA,NA,NA,NA,-339.773842224775,-180.987500326238,76.7826709988971,700.959296635842,103.058654368787,616.854022638718,-119.938921034198,2088.76724930875,-339.773842224775
"76",-21,-26,FALSE,1134,4428.92321654009,3417.73230130814,4832.2156486288,2558.26434415807,2700.71131919135,998.308275132275,6,0,3352.62287193337,NA,NA,NA,NA,NA,NA,NA,NA,-239.639316100588,-105.844960443954,NA,NA,NA,NA,-170.18591957454,NA,-239.639316100588
"77",-21,-26,TRUE,2629,4572.25891925636,3571.84311261051,5037.26940086382,2694.8646664902,2953.21943912235,909.501486496767,6.03955876759224,0,3490.97364068006,NA,NA,NA,NA,NA,NA,NA,NA,-234.220161265029,-194.774021860124,136.464862801334,617.508046878813,197.092202020967,541.144303584931,-161.39488881613,2051.98474383792,-234.220161265029
"78",-21,-25,FALSE,2369,4344.35263452552,3389.83746783238,4570.54794294891,2551.43196115092,2752.33759393324,932.334831574504,5.02026171380329,0,3313.59340862087,NA,NA,NA,NA,NA,NA,NA,NA,-306.777843511168,-222.843979709991,NA,NA,NA,NA,-232.944232056017,NA,-306.777843511168
"79",-21,-25,TRUE,1779,4129.12227141739,3109.10489268847,4166.2847950686,2424.176165348,2534.17891776712,923.568032602586,5.415964024733,0,3088.86004323743,NA,NA,NA,NA,NA,NA,NA,NA,-252.744666902588,-223.183963134729,224.010251805982,638.623299071235,193.416754396769,536.21890995078,-104.612293164339,1797.85454199024,-252.744666902588
